accession,domain_number,subaccession,domain_begin,domain_end
PF05285,SDA1_dom,S2JEF2,520,681
PF05285,SDA1_dom,I1CL39,507,674
PF05285,SDA1_dom,E3KY24,625,805
PF05285,SDA1_dom,F4RZC0,624,804
PF05285,SDA1_dom,A8Q307,612,795
PF05285,SDA1_dom,R9P1D5,601,796
PF05285,SDA1_dom,A0A0D1BUR0,607,800
PF05285,SDA1_dom,M9M7L5,600,789
PF05285,SDA1_dom,V5EUI1,601,789
PF05285,SDA1_dom,G7DUG0,614,746
PF05285,SDA1_dom,U5H0D9,612,821
PF05285,SDA1_dom,R9AJ95,543,676
PF05285,SDA1_dom,I4Y6W4,551,695
PF05285,SDA1_dom,K5VW72,546,692
PF05285,SDA1_dom,S8FUC0,552,688
PF05285,SDA1_dom,F8QI51,548,675
PF05285,SDA1_dom,D8PW85,729,857
PF05285,SDA1_dom,M2QQQ3,550,692
PF05285,SDA1_dom,Q5KB64,572,733
PF05285,SDA1_dom,K1V417,515,663
PF05285,SDA1_dom,B8C677,606,767
PF05285,SDA1_dom,SDA1,529,689
PF05285,SDA1_dom,F0ZEI9,529,679
PF05285,SDA1_dom,Q4QE53,538,792
PF05285,SDA1_dom,A4H993,538,792
PF05285,SDA1_dom,B0W2V0,504,673
PF05285,SDA1_dom,B4J9I3,505,667
PF05285,SDA1_dom,SDA1,504,648
PF05285,SDA1_dom,B4NN63,505,654
PF05285,SDA1_dom,E9FT16,516,707
PF05285,SDA1_dom,A0A8R1W0D3,504,658
PF05285,SDA1_dom,E2BGG3,499,701
PF05285,SDA1_dom,F4WWP1,503,701
PF05285,SDA1_dom,A0A7M7Q0S2,501,736
PF05285,SDA1_dom,H2YYR4,509,645
PF05285,SDA1_dom,G0N3A2,577,753
PF05285,SDA1_dom,E3NDL9,575,752
PF05285,SDA1_dom,A0A8R1HVC8,560,716
PF05285,SDA1_dom,SDA1,573,734
PF05285,SDA1_dom,W1QE58,539,675
PF05285,SDA1_dom,I6NE15,565,686
PF05285,SDA1_dom,G0W5S1,590,727
PF05285,SDA1_dom,SDA1,575,700
PF05285,SDA1_dom,G0VG30,579,701
PF05285,SDA1_dom,G8BX15,573,697
PF05285,SDA1_dom,H2AQT4,568,694
PF05285,SDA1_dom,Q6CXU8,553,691
PF05285,SDA1_dom,I2H248,577,704
PF05285,SDA1_dom,J7SA13,571,691
PF05285,SDA1_dom,K0KPC2,541,675
PF05285,SDA1_dom,G8YDD0,538,658
PF05285,SDA1_dom,C5M3F6,536,681
PF05285,SDA1_dom,Q59PR7,536,692
PF05285,SDA1_dom,A5E0U6,546,680
PF05285,SDA1_dom,G3AHH0,530,651
PF05285,SDA1_dom,N4VPN5,547,670
PF05285,SDA1_dom,G0RLH9,546,675
PF05285,SDA1_dom,M1W9Q1,549,689
PF05285,SDA1_dom,E9DXI6,529,643
PF05285,SDA1_dom,C7YW25,546,665
PF05285,SDA1_dom,G3JSQ8,551,685
PF05285,SDA1_dom,I1RDA0,544,666
PF05285,SDA1_dom,M7T6P9,520,638
PF05285,SDA1_dom,U7PMW4,561,703
PF05285,SDA1_dom,F0X6Y3,575,730
PF05285,SDA1_dom,S3C2B5,570,739
PF05285,SDA1_dom,G2QND6,550,674
PF05285,SDA1_dom,B2B188,552,676
PF05285,SDA1_dom,SDA1,548,692
PF05285,SDA1_dom,G4N9F9,550,672
PF05285,SDA1_dom,J3PFI9,546,670
PF05285,SDA1_dom,M3CQY6,533,674
PF05285,SDA1_dom,M2MLC8,544,699
PF05285,SDA1_dom,M3A2U0,532,679
PF05285,SDA1_dom,F9X3K4,533,688
PF05285,SDA1_dom,N1PWB7,480,637
PF05285,SDA1_dom,K2QQU1,563,694
PF05285,SDA1_dom,R1EV86,547,678
PF05285,SDA1_dom,A1CNV4,549,672
PF05285,SDA1_dom,Q5BF36,548,674
PF05285,SDA1_dom,B8MZH1,548,678
PF05285,SDA1_dom,S7Z5S8,546,669
PF05285,SDA1_dom,K9GA16,534,659
PF18210,Knl1_RWD_C,A0A067BYA3,517,669
PF18210,Knl1_RWD_C,A0A024G8Y8,1010,1179
PF18210,Knl1_RWD_C,H3GJY7,1043,1209
PF18210,Knl1_RWD_C,A0A0N7L6B9,1139,1305
PF18210,Knl1_RWD_C,M4BN35,1051,1217
PF18210,Knl1_RWD_C,A7SR58,1273,1426
PF18210,Knl1_RWD_C,A0A3M6TS59,1512,1668
PF18210,Knl1_RWD_C,A0A2B4SNA4,1483,1646
PF18210,Knl1_RWD_C,A0A0P7VVR1,31,173
PF18210,Knl1_RWD_C,A0A3Q1EYS0,1232,1385
PF18210,Knl1_RWD_C,A0A2I4BSX9,1367,1519
PF18210,Knl1_RWD_C,A0A3P9B797,1667,1846
PF18210,Knl1_RWD_C,A0A3Q3BJC3,1655,1829
PF18210,Knl1_RWD_C,A0A2U9CUG7,1482,1663
PF18210,Knl1_RWD_C,A0A2U9CXC5,1382,1542
PF18210,Knl1_RWD_C,A0A3Q2VGL0,1611,1762
PF18210,Knl1_RWD_C,A0A3Q3MLM0,1591,1772
PF18210,Knl1_RWD_C,A0A3P8UXL3,1291,1471
PF18210,Knl1_RWD_C,G3NXF2,1545,1698
PF18210,Knl1_RWD_C,H2UB46,1373,1526
PF18210,Knl1_RWD_C,H3C760,99,230
PF18210,Knl1_RWD_C,A0A3Q3KMZ6,1682,1835
PF18210,Knl1_RWD_C,A0A3Q1JIS5,1539,1692
PF18210,Knl1_RWD_C,A0A3P8XFM0,1400,1552
PF18210,Knl1_RWD_C,A0A1S3MA81,1568,1750
PF18210,Knl1_RWD_C,A0A060X3D5,1620,1772
PF18210,Knl1_RWD_C,A0A498LRQ1,2566,2712
PF18210,Knl1_RWD_C,W5JXR3,1554,1741
PF18210,Knl1_RWD_C,W5N4R8,2227,2381
PF18210,Knl1_RWD_C,A0A226MLJ9,51,174
PF18210,Knl1_RWD_C,F7F0K9,2181,2334
PF18210,Knl1_RWD_C,A0A2U3YG20,1844,2025
PF18210,Knl1_RWD_C,A0A1S3WV00,762,925
PF18210,Knl1_RWD_C,A0A3Q2HIC7,2042,2215
PF18210,Knl1_RWD_C,A0A452FWR3,1915,2062
PF18210,Knl1_RWD_C,G3TPM1,80,235
PF18210,Knl1_RWD_C,A0A3Q7TG01,2031,2184
PF18210,Knl1_RWD_C,A0A2K5VSB3,2061,2214
PF18210,Knl1_RWD_C,A0A1S3EML5,1705,1858
PF18210,Knl1_RWD_C,D3ZNX2,1864,2017
PF18210,Knl1_RWD_C,L9JC43,1172,1302
PF18210,Knl1_RWD_C,A0A091DLD4,1939,2092
PF18210,Knl1_RWD_C,F6WAJ3,2922,3068
PF18210,Knl1_RWD_C,A0A1U7S5C9,2291,2444
PF18210,Knl1_RWD_C,M7AUY6,1568,1721
PF18210,Knl1_RWD_C,A0A493U2E6,2136,2289
PF18210,Knl1_RWD_C,A0A093IGA4,157,369
PF18210,Knl1_RWD_C,A0A091FVY8,223,372
PF18210,Knl1_RWD_C,A0A0A0B0A4,228,377
PF18210,Knl1_RWD_C,A0A091JIB3,147,358
PF18210,Knl1_RWD_C,A0A3M0JCJ2,1738,1912
PF18210,Knl1_RWD_C,A0A091E8S2,195,367
PF18210,Knl1_RWD_C,A0A091VYD7,214,360
PF18210,Knl1_RWD_C,A0A433TJB4,1076,1228
PF18210,Knl1_RWD_C,H2YFN6,25,187
PF18210,Knl1_RWD_C,F7AT91,188,353
PF18210,Knl1_RWD_C,A0A2G8K803,1888,2040
PF18210,Knl1_RWD_C,D8TNZ6,828,971
PF18210,Knl1_RWD_C,M1VIS4,931,1081
PF18210,Knl1_RWD_C,M2XTZ2,834,965
PF18210,Knl1_RWD_C,KNL1,680,816
PF18210,Knl1_RWD_C,Q754X4,660,810
PF18210,Knl1_RWD_C,A0A2K1KE06,1086,1240
PF18210,Knl1_RWD_C,V4MX95,806,959
PF18210,Knl1_RWD_C,R0I410,988,1142
PF18210,Knl1_RWD_C,A0A1P8B0S5,958,1113
PF18210,Knl1_RWD_C,A0A2H5PRY1,1137,1291
PF18210,Knl1_RWD_C,A0A1Q3BK77,1154,1308
PF18210,Knl1_RWD_C,A0A1R3J4A4,996,1150
PF18210,Knl1_RWD_C,A0A0D2MUE5,690,844
PF18210,Knl1_RWD_C,A0A0D2SL85,1098,1252
PF18210,Knl1_RWD_C,A0A1S3CFV9,1068,1222
PF18210,Knl1_RWD_C,A0A2K3NKC7,2,155
PF18210,Knl1_RWD_C,A0A0S3S876,770,923
PF18210,Knl1_RWD_C,A0A1U7ZB53,1069,1223
PF18210,Knl1_RWD_C,A0A0D3GIJ1,631,788
PF18210,Knl1_RWD_C,A0A0D9WRZ8,690,844
PF18210,Knl1_RWD_C,J3MFP6,442,595
PF18210,Knl1_RWD_C,A0A453SFR3,143,295
PF18210,Knl1_RWD_C,K3XUZ7,787,941
PF18210,Knl1_RWD_C,U5D9K3,1276,1431
PF18210,Knl1_RWD_C,L2GTV9,550,683
PF18210,Knl1_RWD_C,Q6CMN2,581,731
PF18210,Knl1_RWD_C,B5RSQ9,854,998
PF18210,Knl1_RWD_C,A0A1E4TZZ0,977,1111
PF18210,Knl1_RWD_C,A0A238FH77,934,1088
PF18210,Knl1_RWD_C,A0A0K3C8R8,1036,1190
PF18210,Knl1_RWD_C,A0A1Y2ERD0,972,1118
PF18210,Knl1_RWD_C,A0A427XR52,1076,1216
PF18210,Knl1_RWD_C,A0A0J0XXP2,1107,1240
PF18210,Knl1_RWD_C,A0A0H2SF93,889,1042
PF18210,Knl1_RWD_C,A0A166AWE7,210,362
PF18210,Knl1_RWD_C,A0A0L6WWV3,972,1123
PF18210,Knl1_RWD_C,A0A0C9YBS8,1006,1157
PF18210,Knl1_RWD_C,A0A0D2Q3C6,1013,1164
PF18210,Knl1_RWD_C,A0A409W3Q1,1012,1163
PF18210,Knl1_RWD_C,A0A286UQM9,987,1141
PF18210,Knl1_RWD_C,K5X6I3,1017,1183
PF18210,Knl1_RWD_C,A0A0D0DUX6,1043,1194
PF18210,Knl1_RWD_C,A0A0C9XUD8,974,1124
PF18210,Knl1_RWD_C,A0A0C3D2Y8,927,1078
PF18210,Knl1_RWD_C,F8QD76,209,361
PF18210,Knl1_RWD_C,W4KQB8,960,1111
PF18210,Knl1_RWD_C,S7S548,256,408
PF18210,Knl1_RWD_C,A0A165RIA0,1123,1275
PF18210,Knl1_RWD_C,A0A166J8Y5,902,1054
PF18210,Knl1_RWD_C,A0A401G8C7,1087,1239
PF18210,Knl1_RWD_C,J4H1T4,1103,1255
PF18210,Knl1_RWD_C,S8EGZ5,219,371
PF18210,Knl1_RWD_C,A0A165MEJ6,1120,1272
PF18210,Knl1_RWD_C,A0A1X6NGR6,1124,1275
PF18210,Knl1_RWD_C,A0A165E5U7,1056,1208
PF18210,Knl1_RWD_C,A0A060SMZ6,1106,1258
PF18210,Knl1_RWD_C,A0A2G8SB11,1067,1219
PF18210,Knl1_RWD_C,A0A371DUK0,1084,1236
PF18210,Knl1_RWD_C,K5WMV3,1135,1287
PF18210,Knl1_RWD_C,M2RRQ6,1111,1262
PF18210,Knl1_RWD_C,A0A2R6NYU1,1072,1200
PF18210,Knl1_RWD_C,A0A167K5Y7,868,1016
PF18210,Knl1_RWD_C,A0A1Y1UUJ1,856,1007
PF18210,Knl1_RWD_C,A0A427Y7P3,805,963
PF18210,Knl1_RWD_C,A0A1E3HN69,799,959
PF18210,Knl1_RWD_C,A0A1E3I5K9,848,1004
PF18210,Knl1_RWD_C,A0A1A5ZV96,848,1006
PF18210,Knl1_RWD_C,A0A1B9GFG8,839,998
PF18210,Knl1_RWD_C,A0A1B9IL92,829,988
PF18210,Knl1_RWD_C,A0A1B9GY73,853,1010
PF18210,Knl1_RWD_C,A0A0M9VP63,708,853
PF18210,Knl1_RWD_C,R9P5V9,1023,1203
PF18210,Knl1_RWD_C,A0A316ZGT3,927,1072
PF18210,Knl1_RWD_C,A0A316W190,872,1017
PF18210,Knl1_RWD_C,A0A0P1BRK7,872,1017
PF18210,Knl1_RWD_C,A0A316UXR1,896,1050
PF18210,Knl1_RWD_C,A0A316UCY6,872,1017
PF18210,Knl1_RWD_C,A0A316VP20,1013,1161
PF18210,Knl1_RWD_C,A0A316YMZ5,898,1048
PF18210,Knl1_RWD_C,A9V0C0,1111,1263
PF18210,Knl1_RWD_C,KNL1,1105,1255
PF18210,Knl1_RWD_C,A0A1Y1Z644,902,1016
PF18210,Knl1_RWD_C,A0A139A6U2,1064,1207
PF18210,Knl1_RWD_C,A0A1Y2GJX7,231,419
PF18210,Knl1_RWD_C,A0A197KGC1,1020,1211
PF18210,Knl1_RWD_C,A0A367LFI6,1181,1318
PF18210,Knl1_RWD_C,A0A2A9P666,1195,1341
PF18210,Knl1_RWD_C,A0A2C5Z1T2,1195,1341
PF18210,Knl1_RWD_C,A0A2T2ZYT4,1147,1302
PF18210,Knl1_RWD_C,A0A086T3C9,1178,1335
PF18210,Knl1_RWD_C,A0A0M8MZ14,214,369
PF18210,Knl1_RWD_C,A0A2N3NBQ8,1115,1270
PF18210,Knl1_RWD_C,A0A8E5HN08,1176,1330
PF18210,Knl1_RWD_C,A0A167Z2W2,1161,1315
PF18210,Knl1_RWD_C,A0A0B2WKY9,1147,1302
PF18210,Knl1_RWD_C,A0A179GZY1,1171,1326
PF18210,Knl1_RWD_C,A0A2K3PU79,1198,1353
PF18210,Knl1_RWD_C,A0A428T7N7,1197,1352
PF18210,Knl1_RWD_C,A0A3N2PYB0,1212,1370
PF18210,Knl1_RWD_C,A0A1Q8RBK8,1260,1415
PF18210,Knl1_RWD_C,A0A484FUH3,1200,1355
PF18210,Knl1_RWD_C,A0A423WWW8,1169,1324
PF18210,Knl1_RWD_C,A0A1Y2XDE9,1187,1343
PF18210,Knl1_RWD_C,A0A1Y2W968,1204,1360
PF18210,Knl1_RWD_C,W3WLP7,1225,1387
PF18210,Knl1_RWD_C,M7SFR3,999,1154
PF18210,Knl1_RWD_C,A0A136J1V3,454,609
PF18210,Knl1_RWD_C,A0A1V1T7B6,1180,1337
PF18210,Knl1_RWD_C,A0A1S7UMN0,1188,1344
PF18210,Knl1_RWD_C,A0A1Y2D890,1200,1360
PF18210,Knl1_RWD_C,L8G0F9,1250,1412
PF18210,Knl1_RWD_C,A7EVA3,1270,1432
PF18210,Knl1_RWD_C,A0A2S7PGU8,1265,1427
PF18210,Knl1_RWD_C,A0A1E1L7W7,1246,1409
PF18210,Knl1_RWD_C,S3CNY7,1265,1428
PF18210,Knl1_RWD_C,A0A194XUC1,1271,1433
PF18210,Knl1_RWD_C,A0A0C3H278,1243,1403
PF18210,Knl1_RWD_C,A0A3D8S8A0,1284,1433
PF18210,Knl1_RWD_C,A0A090CDX0,1227,1386
PF18210,Knl1_RWD_C,F7VXL3,1148,1304
PF18210,Knl1_RWD_C,G4N6Q2,1160,1320
PF18210,Knl1_RWD_C,A0A2C5WV88,1283,1438
PF18210,Knl1_RWD_C,W2RS25,1262,1448
PF18210,Knl1_RWD_C,A0A0D2ALJ7,889,1054
PF18210,Knl1_RWD_C,N1Q9P3,977,1137
PF18210,Knl1_RWD_C,A0A1S8B2V2,927,1095
PF18210,Knl1_RWD_C,R1H2E4,403,565
PF18210,Knl1_RWD_C,K2S8P3,590,751
PF18210,Knl1_RWD_C,A0A177CSH0,945,1102
PF18210,Knl1_RWD_C,A0A2V1DA67,773,930
PF18210,Knl1_RWD_C,A0A1Y2LKZ2,977,1136
PF18210,Knl1_RWD_C,F2STM8,1203,1380
PF18210,Knl1_RWD_C,A0A0F4YX58,1217,1396
PF18210,Knl1_RWD_C,Q0CRL4,1211,1373
PF18210,Knl1_RWD_C,A0A017SDX4,1211,1376
PF18210,Knl1_RWD_C,A0A1L9VIY9,1210,1376
PF18210,Knl1_RWD_C,A0A1V6SII0,1236,1398
PF18210,Knl1_RWD_C,A0A1L9RL35,1256,1431
PF18210,Knl1_RWD_C,A0A1R3RNN2,1236,1402
PF18210,Knl1_RWD_C,A0A317WZ19,1289,1465
PF18210,Knl1_RWD_C,U7Q5G6,1261,1417
PF18210,Knl1_RWD_C,A0A2S4PX96,1276,1438
PF18210,Knl1_RWD_C,A0A3N4J7A8,1412,1521
PF18210,Knl1_RWD_C,B8C5A4,1535,1705
PF18210,Knl1_RWD_C,M7NN42,956,1092
PF18210,Knl1_RWD_C,A0A1Y2HUA9,1443,1598
PF18210,Knl1_RWD_C,A0A0L0T7U2,368,556
PF18210,Knl1_RWD_C,A0A0L0S3J4,995,1183
PF18210,Knl1_RWD_C,A0A0L0HRB8,822,1008
PF18210,Knl1_RWD_C,A0A1Y1XAE5,425,564
PF18210,Knl1_RWD_C,A0A1Y2CXJ9,1439,1578
PF18210,Knl1_RWD_C,A0A0C9M0A5,634,779
PF18210,Knl1_RWD_C,S2JFU6,525,670
PF18210,Knl1_RWD_C,A0A1X2IPK0,833,978
PF18210,Knl1_RWD_C,A0A163K478,784,929
PF18210,Knl1_RWD_C,A0A0D2WL06,1010,1143
PF18210,Knl1_RWD_C,D7FTI1,1005,1205
PF18210,Knl1_RWD_C,L5K8P2,89,218
PF18210,Knl1_RWD_C,A0A0L0D6T0,956,1109
PF18210,Knl1_RWD_C,L8GDW9,428,581
PF18210,Knl1_RWD_C,L1JC32,660,803
PF18210,Knl1_RWD_C,A4RSC4,778,942
PF18210,Knl1_RWD_C,A0A090MDR7,884,1041
PF18210,Knl1_RWD_C,K8EGH2,757,960
PF18210,Knl1_RWD_C,E1Z4S1,1203,1362
PF18210,Knl1_RWD_C,A0A2P6VLZ4,1281,1439
PF18210,Knl1_RWD_C,I0Z2G3,1091,1242
PF18210,Knl1_RWD_C,A0A2P6TVM5,1307,1469
PF24990,PAS_13,ACUK,488,729
PF24990,PAS_13,ACUK,468,660
PF24990,PAS_13,ACUK,461,649
PF24990,PAS_13,ACUK,501,687
PF24990,PAS_13,A0A7U2IC56,495,680
PF24990,PAS_13,ERT1,455,558
PF24990,PAS_13,ERT1,464,569
PF24990,PAS_13,GSM1,361,476
PF24990,PAS_13,GSM1,416,533
PF24990,PAS_13,GSM1,532,696
PF24990,PAS_13,GSM1,386,509
PF02465,FliD_N,I4B8U5,11,107
PF02465,FliD_N,Q8F0N8,11,108
PF02465,FliD_N,B0SJ86,11,108
PF02465,FliD_N,Q67K38,10,106
PF02465,FliD_N,E3CUF9,13,116
PF02465,FliD_N,D1B9T7,13,116
PF02465,FliD_N,I4BXS7,15,118
PF02465,FliD_N,G7V5U8,11,111
PF02465,FliD_N,H2J719,17,111
PF02465,FliD_N,A8F3K7,28,123
PF02465,FliD_N,F7YV90,30,125
PF02465,FliD_N,A7HK32,27,122
PF02465,FliD_N,FLID,28,121
PF02465,FliD_N,Q3ADF2,10,105
PF02465,FliD_N,Q3A5J6,11,107
PF02465,FliD_N,FLID,12,109
PF02465,FliD_N,F5YKK5,11,108
PF02465,FliD_N,F8EZ40,11,108
PF02465,FliD_N,F5YDI9,11,108
PF02465,FliD_N,FLID,14,107
PF02465,FliD_N,S5ZPW9,12,106
PF02465,FliD_N,Q73MN6,13,106
PF02465,FliD_N,V5WGG3,11,108
PF02465,FliD_N,G0GFW6,11,108
PF02465,FliD_N,E1R4G9,11,108
PF02465,FliD_N,F2NSQ7,14,109
PF02465,FliD_N,F4LPA8,13,108
PF02465,FliD_N,I0IR66,30,124
PF02465,FliD_N,Q2RRB0,26,130
PF02465,FliD_N,V6EW67,25,134
PF02465,FliD_N,F2J620,20,130
PF02465,FliD_N,Q6NC32,38,146
PF02465,FliD_N,F0SZE5,12,109
PF02465,FliD_N,C9A954,23,113
PF02465,FliD_N,G2SRF1,26,118
PF02465,FliD_N,D4H874,11,107
PF02465,FliD_N,D3PBU0,11,107
PF02465,FliD_N,E4TIX3,11,106
PF02465,FliD_N,A9KSQ5,10,107
PF02465,FliD_N,F2JT53,13,110
PF02465,FliD_N,G2SZK3,10,105
PF02465,FliD_N,C4Z284,10,106
PF02465,FliD_N,E0S031,10,106
PF02465,FliD_N,F6B820,15,125
PF02465,FliD_N,B0TH38,10,105
PF02465,FliD_N,W0EF34,15,112
PF02465,FliD_N,C9LY19,12,108
PF02465,FliD_N,L0FCB4,11,108
PF02465,FliD_N,Q24T52,11,108
PF02465,FliD_N,E3PUL1,12,123
PF02465,FliD_N,W8T1R0,11,120
PF02465,FliD_N,A6TLE2,8,119
PF02465,FliD_N,A8MJP0,8,119
PF02465,FliD_N,K0AY79,10,110
PF02465,FliD_N,D9SKF6,17,125
PF02465,FliD_N,Q18CX9,15,116
PF02465,FliD_N,M1MUH2,12,112
PF02465,FliD_N,U5MWH2,25,130
PF02465,FliD_N,R4KDU4,31,126
PF02465,FliD_N,W6RWU2,9,112
PF02465,FliD_N,Q893U0,18,120
PF02465,FliD_N,A0Q000,18,122
PF02465,FliD_N,H6LDR0,26,128
PF02465,FliD_N,B8I4D9,25,131
PF02465,FliD_N,L7VVC2,20,123
PF02465,FliD_N,F0SU34,18,121
PF02465,FliD_N,F6DNQ5,9,112
PF02465,FliD_N,A3DHJ1,21,124
PF02465,FliD_N,G8LSZ6,11,114
PF02465,FliD_N,Q97H10,24,137
PF02465,FliD_N,E6U6G4,33,134
PF02465,FliD_N,A5I5G7,7,111
PF02465,FliD_N,A5MZ29,16,120
PF02465,FliD_N,I0JQJ9,11,106
PF02465,FliD_N,K0J0W2,10,105
PF02465,FliD_N,Q8ENI2,8,104
PF02465,FliD_N,Q5WDF2,8,106
PF02465,FliD_N,D3FYF8,8,107
PF02465,FliD_N,B1I5H1,11,108
PF02465,FliD_N,L0E7Z6,10,107
PF02465,FliD_N,H6NT80,10,107
PF02465,FliD_N,K4LWP4,12,107
PF02465,FliD_N,D7CPM2,10,104
PF02465,FliD_N,D9RY97,13,114
PF02465,FliD_N,F4LXD0,13,115
PF02465,FliD_N,Q0B0F5,11,107
PF02465,FliD_N,R4KJ70,12,108
PF02465,FliD_N,C8W1D6,12,108
PF02465,FliD_N,A4J775,12,109
PF02465,FliD_N,A5D0G4,18,112
PF02465,FliD_N,Q8RCC8,22,119
PF02465,FliD_N,F3ZZ81,16,112
PF02465,FliD_N,Q5KV87,12,109
PF02465,FliD_N,U5LI20,9,106
PF02465,FliD_N,Q65EC0,10,104
PF02465,FliD_N,FLID,10,108
PF02465,FliD_N,E6TS73,8,106
PF02465,FliD_N,FLID,8,103
PF02465,FliD_N,C0Z6U7,10,105
PF02465,FliD_N,N0AZE7,16,112
PF02465,FliD_N,I3TJH6,28,142
