accession,domain_number,subaccession,domain_begin,domain_end
PF20554,DUF6766,A0A0A7LHZ3,10,227
PF20554,DUF6766,A0A5B7ZY94,10,227
PF20554,DUF6766,A0A212UGQ7,10,227
PF20554,DUF6766,A0A5D6VA61,1,218
PF20554,DUF6766,A0A2M9ASH5,10,227
PF20554,DUF6766,A0A4U3KZV2,1,217
PF20554,DUF6766,A0A512BD08,2,219
PF20554,DUF6766,A0A4Q1DB23,1,217
PF20554,DUF6766,A0A172TZZ3,1,220
PF20554,DUF6766,A0A2S1LTB4,1,218
PF20554,DUF6766,A0A553ADG0,1,218
PF20554,DUF6766,A0A6N4SSZ8,1,218
PF20554,DUF6766,A0A2S1QZX2,1,218
PF20554,DUF6766,A0A0A2M8H9,1,218
PF20554,DUF6766,A0A1G8XXN4,1,218
PF20554,DUF6766,A0A519KHZ1,1,218
PF20554,DUF6766,A0A0M8MFY7,1,218
PF20554,DUF6766,A0A4Q7MZ70,1,218
PF20554,DUF6766,A0A4Q5SRQ7,7,225
PF20554,DUF6766,A0A2T6FN96,2,214
PF20554,DUF6766,A0A4Q5VED6,4,216
PF20554,DUF6766,A0A410G4Z5,4,220
PF20554,DUF6766,A0A249SSF6,7,223
PF20554,DUF6766,A0A512RJH8,3,219
PF20554,DUF6766,A0A2H9VVR8,3,219
PF20554,DUF6766,A0A6I4I8N6,6,222
PF20554,DUF6766,A0A3E2NXX9,7,223
PF20554,DUF6766,A0A2U2PJ00,3,219
PF20554,DUF6766,A0A437MKV5,3,219
PF20554,DUF6766,A0A563UIM8,3,219
PF20554,DUF6766,A0A285ZWN6,5,221
PF20554,DUF6766,A0A1T5CWB0,3,219
PF20554,DUF6766,R9GS73,3,219
PF20554,DUF6766,A0A4R1M685,29,245
PF20554,DUF6766,A0A2T3HK03,8,224
PF20554,DUF6766,A0A0M2XPG1,6,222
PF20554,DUF6766,A0A2T0U9I5,3,219
PF20554,DUF6766,A0A5D8YM98,4,220
PF20554,DUF6766,C6XV69,7,223
PF20554,DUF6766,A0A4R6T285,7,223
PF20554,DUF6766,A0A0Q5T9J8,7,223
PF20554,DUF6766,A0A367GNK7,3,219
PF20554,DUF6766,A0A0B8T552,2,218
PF20554,DUF6766,C6W0F2,5,222
PF20554,DUF6766,A0A5S5DMJ9,2,218
PF20554,DUF6766,U2H6J8,2,217
PF20554,DUF6766,A0A221T1W7,1,210
PF20554,DUF6766,A0A418V8K2,1,210
PF20554,DUF6766,C1D304,1,210
PF20554,DUF6766,L0A845,1,220
PF20554,DUF6766,A0A150WJ18,4,233
PF20554,DUF6766,A0A178IK78,1,215
PF20554,DUF6766,A0A1T5JAY4,5,219
PF20554,DUF6766,A0A0R0ED08,5,219
PF20554,DUF6766,A0A160DUQ6,4,218
PF20554,DUF6766,A0A0S2DGU3,8,225
PF20554,DUF6766,A0A562L262,5,219
PF20554,DUF6766,A0A0A2WE50,9,223
PF20554,DUF6766,Q8P4L3,45,259
PF20554,DUF6766,A0A4U5JJ20,2,214
PF20554,DUF6766,A0A3N4W3T3,9,222
PF20554,DUF6766,A0A4R4F0Z2,11,228
PF20554,DUF6766,A0A1G9LSR3,1,218
PF20554,DUF6766,A0A3E2YMX3,1,219
PF20554,DUF6766,A0A317DKW7,1,219
PF20554,DUF6766,A0A1N7EAM6,1,219
PF20554,DUF6766,A0A4R4L149,1,219
PF20554,DUF6766,A0A1H3JE98,1,219
PF20554,DUF6766,A0A495JH57,1,219
PF20554,DUF6766,A0A562IH60,1,219
PF20554,DUF6766,A0A326TW43,4,218
PF20554,DUF6766,A0A4Q7ML89,17,236
PF20554,DUF6766,A0A4R7T8B0,37,257
PF20554,DUF6766,A0A6I2F7C2,5,224
PF20554,DUF6766,A0AAF0RI76,1,230
PF20554,DUF6766,A0A1G9HV14,1,220
PF20554,DUF6766,A0A255GJ21,12,231
PF20554,DUF6766,A0A0S9C6S9,17,236
PF20554,DUF6766,A0A221R7E4,1,220
PF20554,DUF6766,A0AAU7RHG0,17,236
PF20554,DUF6766,A0A1E8FTI8,1,220
PF20554,DUF6766,A1T4B2,5,225
PF20554,DUF6766,A0AAF0VYA5,6,226
PF20554,DUF6766,A0A1X1TB09,6,226
PF20554,DUF6766,A0A1X0JGP9,11,230
PF20554,DUF6766,D0L5Y0,22,241
PF20554,DUF6766,A0A495ISZ2,14,234
PF20554,DUF6766,J6LER2,4,212
PF20554,DUF6766,A0A2U8VPR8,1,211
PF20554,DUF6766,K5YJE2,16,225
PF20554,DUF6766,C1FA61,4,213
PF20554,DUF6766,A0A2W2FKP5,1,222
PF20554,DUF6766,A0A2T0Q7A3,1,222
PF20554,DUF6766,D2B1G7,1,222
PF20554,DUF6766,A0A161LTU2,1,222
PF20554,DUF6766,A0A1M6T4Q2,10,231
PF20554,DUF6766,A0A2W2FBA2,4,225
PF20554,DUF6766,A0A1H5UGX6,4,225
PF20554,DUF6766,A0A1I0JWA0,10,231
PF26351,DUF8091,A0A2K2TSQ8,34,188
PF26351,DUF8091,A0A176U356,43,197
PF26351,DUF8091,A0A7U6KIU4,29,184
PF26351,DUF8091,A0A3A9F262,31,185
PF26351,DUF8091,A0A3A9F5G1,29,183
PF26351,DUF8091,A0A2K4ZL23,30,184
PF26351,DUF8091,A0A3R6DLN9,31,185
PF26351,DUF8091,A0A3E3ICS8,30,184
PF26351,DUF8091,A0A4R1QZY6,31,185
PF26351,DUF8091,R9JC04,29,183
PF26351,DUF8091,A0A1G5GP94,34,190
PF26351,DUF8091,A0A1H3W0W4,34,188
PF26351,DUF8091,A0A1G9JN07,72,226
PF26351,DUF8091,A0A3A9A4W7,29,183
PF26351,DUF8091,R9MWE3,30,184
PF26351,DUF8091,A0A3A9AZY6,30,184
PF26351,DUF8091,C4Z490,42,196
PF26351,DUF8091,A0A1I0R2D9,48,202
PF26351,DUF8091,A0A3A8WR34,34,188
PF26351,DUF8091,A0A416HTX2,34,188
PF26351,DUF8091,A0A416DU95,34,188
PF26351,DUF8091,A0A1I0FPG8,16,170
PF26351,DUF8091,A0A1I6LM20,26,180
PF26351,DUF8091,A0A1G9U675,30,184
PF26351,DUF8091,A0A0J1J8U4,34,188
PF26351,DUF8091,A0A318XII0,29,183
PF26351,DUF8091,A0A4V6YE71,18,172
PF26351,DUF8091,A0A926E1Q0,9,163
PF26351,DUF8091,A0A6N9PUC2,32,185
PF26351,DUF8091,A0A3A9EQK7,29,182
PF26351,DUF8091,A0A1C7GRP5,37,187
PF26351,DUF8091,A0A011VW98,28,179
PF26351,DUF8091,E9SBD6,28,178
PF26351,DUF8091,A0A369BHK0,21,174
PF26351,DUF8091,A0A7C8HGK1,23,176
PF26351,DUF8091,A0A1J0GCJ1,22,175
PF26351,DUF8091,T0N2L9,22,175
PF26351,DUF8091,A0A0C1U0Q5,26,179
PF26351,DUF8091,A0A6M0H5V4,10,163
PF26351,DUF8091,A0A0P8W3W4,22,173
PF26351,DUF8091,A0A5N1J9N1,24,178
PF26351,DUF8091,A0A0D3LG46,42,196
PF26351,DUF8091,A0A839GNV9,20,174
PF26351,DUF8091,A0A3D8LBX4,22,176
PF26351,DUF8091,A0A931FVA3,30,184
PF26351,DUF8091,A0A929FHR4,10,164
PF26351,DUF8091,A0A660LJF2,22,175
PF26351,DUF8091,A0A7X0VAV2,10,165
PF26351,DUF8091,A0A5B8U2B0,10,165
PF26351,DUF8091,D3F8P2,34,189
PF26351,DUF8091,A0A840III6,11,164
PF26351,DUF8091,D0LWF2,10,163
PF26351,DUF8091,A0A916BYG7,8,163
PF26351,DUF8091,A0A160T4I0,32,186
PF26351,DUF8091,A0A432MHM3,3,153
PF26351,DUF8091,A0A518GVW7,3,155
PF26351,DUF8091,L0DA38,3,155
PF26351,DUF8091,A0A1U7CPR4,3,155
PF26351,DUF8091,A0A142YDG7,3,155
PF26351,DUF8091,A0A5B9W1J1,3,155
PF26351,DUF8091,A0A518G645,3,160
PF26351,DUF8091,A0A5C5XDJ9,3,154
PF26351,DUF8091,F0SM50,3,152
PF26351,DUF8091,A0A518CQD3,3,157
PF26351,DUF8091,A0A517WT22,3,157
PF26351,DUF8091,A0A517Z131,3,157
PF26351,DUF8091,A0A517SBG9,3,157
PF26351,DUF8091,A0A1P8WB15,3,157
PF26351,DUF8091,A0A5C6MF38,3,157
PF26351,DUF8091,A0A517ZI38,3,157
PF26351,DUF8091,D5SXZ7,5,159
PF26351,DUF8091,A0A286RDZ2,3,157
PF26351,DUF8091,A0A518AL72,3,159
PF26351,DUF8091,A0A7V8V1H1,52,208
PF26351,DUF8091,A0A5C5ZGG8,3,159
PF26351,DUF8091,A0A517TPF8,3,159
PF26351,DUF8091,A0A5C5W718,3,159
PF26351,DUF8091,A0A518D6N2,3,159
PF26351,DUF8091,A0A5C5ZX40,3,160
PF26351,DUF8091,A0A5C6D0J7,3,159
PF26351,DUF8091,A0A517N062,3,160
PF26351,DUF8091,A0A5K7XMG1,3,161
PF26351,DUF8091,D2R8U7,3,164
PF26351,DUF8091,A0A517YB75,3,162
PF26351,DUF8091,A0A518E0J0,3,159
PF26351,DUF8091,A0A5B9PIS4,3,160
PF26351,DUF8091,A0A5C5V1F6,3,159
PF26351,DUF8091,A0A518ISK1,3,159
PF26351,DUF8091,A0A5Q3L5E6,3,159
PF26351,DUF8091,A0A5B9R135,3,159
PF26351,DUF8091,A0A517ML78,3,159
PF26351,DUF8091,A0A5C5Y319,3,160
PF26351,DUF8091,A0A7W5E189,3,159
PF26351,DUF8091,A0A5C6A3L2,3,159
PF26351,DUF8091,A0A5C5YIS6,14,170
PF26351,DUF8091,A0A517NW58,3,158
PF26351,DUF8091,M5RNC5,15,170
PF26351,DUF8091,A0A5C5YW05,3,158
PF26351,DUF8091,A0A5C6E813,3,159
PF26351,DUF8091,A0A5C6AG35,3,159
PF26351,DUF8091,A0A5B9ME90,3,158
PF26351,DUF8091,A0A5M6DGS3,3,158
PF26351,DUF8091,A0A517SRR2,3,157
PF26351,DUF8091,A0A255R120,3,158
PF26351,DUF8091,A0A5C6FFX7,12,173
PF26351,DUF8091,A0A517NFE7,3,164
PF26351,DUF8091,A0A5B1CTF8,3,159
PF26351,DUF8091,A0A5C5WWY5,3,159
PF26351,DUF8091,F5Y8X2,1,150
PF26351,DUF8091,F8F1Y7,8,162
PF26351,DUF8091,S5ZQR2,8,167
PF26351,DUF8091,Q73MU7,8,162
PF26351,DUF8091,S3L842,8,161
PF26351,DUF8091,A0A0B7H0U6,8,162
PF26351,DUF8091,Y665,9,163
PF26351,DUF8091,H7ENQ0,17,182
PF26351,DUF8091,A0A7W8G7X9,8,173
PF26351,DUF8091,A0A1T4LC45,10,173
PF26351,DUF8091,F2NVR3,8,171
PF26351,DUF8091,A0A7T3RC32,8,171
PF26351,DUF8091,A0A840SEV9,8,171
PF26351,DUF8091,A0A1T4KZ22,9,172
PF26351,DUF8091,A0A923NX03,9,172
PF26351,DUF8091,A0A1H9A136,9,172
PF26351,DUF8091,I0X830,10,173
PF26351,DUF8091,A0A7G9FGJ0,8,171
PF26351,DUF8091,A0A975IEE5,8,171
PF26351,DUF8091,S3JWT8,13,175
PF26351,DUF8091,F4LJI6,8,169
PF26351,DUF8091,D4LFA5,28,181
PF26351,DUF8091,A0A8J6LZG8,49,203
PF26351,DUF8091,A0A923L1G9,26,180
PF26351,DUF8091,A0A1I3ZFH4,32,186
PF26351,DUF8091,A0A3A9C7D2,29,183
PF26351,DUF8091,A0A1K1NYH6,30,184
PF26351,DUF8091,A0A1G6DLN2,29,183
PF26351,DUF8091,A0A1I5GAI9,29,183
PF26351,DUF8091,A0A6P1TRS8,31,185
PF26351,DUF8091,A0A6S6QM77,16,170
PF26351,DUF8091,A0A8J7H6I9,29,183
PF26351,DUF8091,A0A839K534,29,183
PF26351,DUF8091,A0A7R7EJN2,29,183
PF26351,DUF8091,A0A0H5SZB3,29,183
PF26351,DUF8091,A0A0K8J2G3,29,183
PF26351,DUF8091,A0A1M7YMU3,29,183
PF26351,DUF8091,A0A7I8DER9,29,183
PF26351,DUF8091,A0A1M7FY75,30,184
PF26351,DUF8091,A9KQA5,29,183
PF26351,DUF8091,A0A1V4SKE6,29,183
PF26351,DUF8091,A0A7X6CTM1,40,195
PF26351,DUF8091,A0A926DR54,34,190
PF26351,DUF8091,A0A8J6PFA7,29,183
PF26351,DUF8091,R9L066,33,187
PF26351,DUF8091,A0A1G5ATW7,44,198
PF19492,DUF6027,A0A160NUF8,3,137
PF19492,DUF6027,A0A1D2IDU5,3,138
PF19492,DUF6027,K4R5E8,3,138
PF19492,DUF6027,A0A1Q4V9F6,3,136
PF19492,DUF6027,A0A1I5EJ77,24,152
PF19492,DUF6027,Q2JC50,3,135
PF19492,DUF6027,A0A495VX87,3,134
PF07874,DUF1660,A0A1P8BKX9,3,55
PF07874,DUF1660,W0A3S0,3,48
PF07874,DUF1660,A0A1P8BMK4,3,64
PF07874,DUF1660,Q9AZ71,3,52
PF07874,DUF1660,Q8LTR9,3,78
PF07874,DUF1660,A0A1P8BKG6,3,64
PF07874,DUF1660,A0A1P8BKA6,3,66
PF07874,DUF1660,Q9AZN7,3,60
PF07874,DUF1660,A0A1E8GMT1,3,75
PF07874,DUF1660,A0A6G7YS32,5,54
PF07874,DUF1660,A0A9E7THE2,3,43
PF07874,DUF1660,A0A519KGT2,12,66
PF07874,DUF1660,A0A2V4X174,6,60
PF07874,DUF1660,A0A1G6ESW0,14,68
PF07874,DUF1660,A0A1A7R3E8,13,67
PF07874,DUF1660,A0A9E8SCF6,3,57
PF07874,DUF1660,A0A2K8XIN1,1,55
PF07874,DUF1660,A0A650ESA4,3,67
PF07874,DUF1660,A0A182BQA2,3,73
PF07874,DUF1660,A0A1B1IN18,3,71
PF07874,DUF1660,A0A649V370,3,66
PF08002,DUF1697,D1BU02,1,135
PF08002,DUF1697,Q0AM52,1,132
PF08002,DUF1697,E6WPR0,1,132
PF08002,DUF1697,A1B0Z1,1,132
PF08002,DUF1697,W0PJ02,1,132
PF08002,DUF1697,B2JS95,1,132
PF08002,DUF1697,Q89M59,1,132
PF08002,DUF1697,G4R7Z3,2,134
PF08002,DUF1697,C1F107,5,136
PF08002,DUF1697,A7I4B2,1,132
PF08002,DUF1697,G0A8J3,1,132
PF08002,DUF1697,B1ZPA6,1,138
PF08002,DUF1697,E6SEI2,1,136
PF08002,DUF1697,A1SG77,6,136
PF08002,DUF1697,R7Y084,5,136
PF08002,DUF1697,F6EKT6,2,132
PF08002,DUF1697,E2S8I6,1,132
PF08002,DUF1697,D0L7C1,1,131
PF08002,DUF1697,H6MU60,1,131
PF08002,DUF1697,D0LVR3,1,137
PF08002,DUF1697,I4F102,1,136
PF08002,DUF1697,D3FB12,1,136
PF08002,DUF1697,D7CGP6,1,138
PF08002,DUF1697,F5XTW2,11,142
PF08002,DUF1697,F4CVK3,1,137
PF08002,DUF1697,D7B1H6,4,138
PF08002,DUF1697,C6WPF8,1,139
PF08002,DUF1697,Q82L72,1,137
PF08002,DUF1697,Q9ADH1,3,138
PF08002,DUF1697,K4QZV6,3,138
PF08002,DUF1697,F2RAX5,3,139
PF08002,DUF1697,B5H6E8,3,138
PF08002,DUF1697,B5H1K2,5,139
PF08002,DUF1697,G2NPV2,7,142
PF08002,DUF1697,C8XI44,5,128
PF08002,DUF1697,D5UHI6,1,134
PF08002,DUF1697,K0K2S6,5,141
PF08002,DUF1697,C7PXQ0,1,137
PF08002,DUF1697,A4FG47,1,135
PF08002,DUF1697,E3J6X6,1,136
PF08002,DUF1697,G8S100,1,139
PF08002,DUF1697,I0H646,1,139
PF08002,DUF1697,Q2IK86,1,137
PF08002,DUF1697,V5XBW8,1,137
PF08002,DUF1697,E4RUJ1,1,131
PF08002,DUF1697,Q24Q04,8,144
PF08002,DUF1697,Q38ZI6,1,137
PF08002,DUF1697,A9KSA4,1,138
PF08002,DUF1697,N0AV02,1,138
PF08002,DUF1697,C9AD08,1,139
PF08002,DUF1697,F4LJZ4,1,139
PF08002,DUF1697,M1MR70,1,139
PF08002,DUF1697,A0A174KHR1,1,137
PF08002,DUF1697,Q186S8,1,139
PF08002,DUF1697,Q8CYY4,1,132
PF08002,DUF1697,V5WKK8,1,133
PF08002,DUF1697,B3E605,1,135
PF08002,DUF1697,Q73RJ1,1,136
PF08002,DUF1697,Q605F7,2,136
PF08002,DUF1697,A6TN65,2,137
PF08002,DUF1697,A8MKF2,2,137
PF08002,DUF1697,Q2NC07,1,140
PF08002,DUF1697,Q2G5E8,1,137
PF08002,DUF1697,E6U5R5,5,130
PF08002,DUF1697,A0JXY0,3,134
PF08002,DUF1697,E9T6R8,1,136
PF08002,DUF1697,C5C6E3,1,138
PF08002,DUF1697,A0R2N0,1,132
PF08002,DUF1697,D6ZFE3,1,132
PF08002,DUF1697,F5YV86,12,144
PF08002,DUF1697,B2HSC7,1,132
PF08002,DUF1697,Q73WM9,13,138
PF08002,DUF1697,O06552,38,166
PF08002,DUF1697,F0S8S2,1,133
PF08002,DUF1697,G0AGA3,31,163
PF08002,DUF1697,Q222Z0,1,135
PF08002,DUF1697,Q7UU99,35,171
PF08002,DUF1697,D1CIT7,1,135
PF08002,DUF1697,Q12RP5,1,138
PF08002,DUF1697,D5CLQ1,1,137
PF08002,DUF1697,A5G7B2,1,137
PF08002,DUF1697,E1R8C0,1,137
PF08002,DUF1697,F9YUJ6,12,147
PF08002,DUF1697,Q8Y6B0,1,132
PF08002,DUF1697,Q54D49,3,136
PF08002,DUF1697,Q54C13,1,129
PF08002,DUF1697,E8X403,2,136
PF08002,DUF1697,B8GEP5,1,136
PF08002,DUF1697,I4B717,1,137
PF08002,DUF1697,Q1IUC9,1,137
PF08002,DUF1697,H8KRR1,1,137
PF08002,DUF1697,G2PLG0,8,142
PF08002,DUF1697,A4AU20,1,138
PF08002,DUF1697,T2KQE9,1,135
PF08002,DUF1697,G0LAG8,1,138
PF08002,DUF1697,A3U763,1,134
PF08002,DUF1697,E4T153,1,138
PF08002,DUF1697,F0RCY5,1,135
PF08002,DUF1697,G8X635,1,138
PF08002,DUF1697,G2Z3N2,1,137
PF08002,DUF1697,A6GXL8,1,138
PF08002,DUF1697,H8XSM8,1,138
PF08002,DUF1697,H6NIA8,1,143
PF08002,DUF1697,A0A6L8PAR0,1,137
PF08002,DUF1697,Q813I6,1,137
PF08002,DUF1697,R4K095,1,143
PF08002,DUF1697,C8W0V8,1,143
PF08002,DUF1697,M1MMU2,1,143
PF08002,DUF1697,F0SUJ4,35,176
PF08002,DUF1697,I4AIA3,1,145
PF08002,DUF1697,G0J6M7,1,139
PF08002,DUF1697,E4TTR2,13,150
PF08002,DUF1697,C9Z9V9,1,136
PF08002,DUF1697,Q7P208,1,135
PF08002,DUF1697,C1ACH4,10,142
PF08002,DUF1697,C5CCH0,11,138
PF08002,DUF1697,W0AIY5,1,137
PF08002,DUF1697,G4REU8,1,135
PF08002,DUF1697,Q92QB1,1,138
PF08002,DUF1697,Q8U586,1,134
PF08002,DUF1697,D9QHQ1,1,136
PF08002,DUF1697,B4RHI0,1,135
PF08002,DUF1697,Q9A6I6,29,163
PF08002,DUF1697,F4H446,11,148
PF08002,DUF1697,F8A0S7,7,138
PF08002,DUF1697,F6FPH1,26,162
PF09435,DUF2015,A0A507FI91,48,125
PF09435,DUF2015,A0A1Y2D0F5,80,157
PF09435,DUF2015,A0A1E4TLX2,1,79
PF09435,DUF2015,A0A1Y1UUL1,50,130
PF09435,DUF2015,A0A139A3E5,98,175
PF09435,DUF2015,A0A0L0DPV8,301,378
PF09435,DUF2015,A0A137NU82,46,122
PF09435,DUF2015,A0A0D2U835,271,349
PF09435,DUF2015,A0A0L0GFD2,475,560
