domain_number,accession,len_pfam,len_chainsaw,len_overlap,percent_overlap_pfam,percent_overlap_chainsaw
Knl1_RWD_C,S2JFU6,145,211,105,72.41,49.76
Knl1_RWD_C,A0A1X2IPK0,145,212,105,72.41,49.53
Knl1_RWD_C,A0A163K478,145,178,105,72.41,58.99
Knl1_RWD_C,A0A0D2WL06,133,187,92,69.17,49.2
Knl1_RWD_C,L5K8P2,129,111,96,74.42,86.49
Knl1_RWD_C,A0A0L0D6T0,153,223,121,79.08,54.26
Knl1_RWD_C,L1JC32,143,194,105,73.43,54.12
Knl1_RWD_C,A4RSC4,164,228,126,76.83,55.26
Knl1_RWD_C,A0A090MDR7,157,203,95,60.51,46.8
Knl1_RWD_C,K8EGH2,203,227,110,54.19,48.46
PAS_13,A0A7U2IC56,185,267,184,99.46,68.91
FliD_N,I4B8U5,96,598,80,83.33,13.38
FliD_N,Q8F0N8,97,560,93,95.88,16.61
FliD_N,B0SJ86,97,551,85,87.63,15.43
FliD_N,Q67K38,96,390,93,96.88,23.85
FliD_N,E3CUF9,103,817,100,97.09,12.24
FliD_N,D1B9T7,103,811,100,97.09,12.33
FliD_N,I4BXS7,103,467,100,97.09,21.41
FliD_N,G7V5U8,100,386,84,84.0,21.76
FliD_N,H2J719,94,600,91,96.81,15.17
FliD_N,A8F3K7,95,596,95,100.0,15.94
FliD_N,F7YV90,95,594,95,100.0,15.99
FliD_N,A7HK32,95,589,95,100.0,16.13
FliD_N,Q3ADF2,95,367,69,72.63,18.8
FliD_N,Q3A5J6,96,426,93,96.88,21.83
FliD_N,F5YKK5,97,571,70,72.16,12.26
FliD_N,F8EZ40,97,556,71,73.2,12.77
FliD_N,F5YDI9,97,553,68,70.1,12.3
FliD_N,S5ZPW9,94,569,80,85.11,14.06
FliD_N,Q73MN6,93,560,80,86.02,14.29
FliD_N,V5WGG3,97,571,69,71.13,12.08
FliD_N,G0GFW6,97,567,71,73.2,12.52
FliD_N,E1R4G9,97,543,69,71.13,12.71
FliD_N,F2NSQ7,95,588,69,72.63,11.73
FliD_N,F4LPA8,95,596,79,83.16,13.26
FliD_N,I0IR66,94,458,94,100.0,20.52
FliD_N,Q2RRB0,104,536,104,100.0,19.4
FliD_N,V6EW67,109,524,107,98.17,20.42
FliD_N,F2J620,110,528,107,97.27,20.27
FliD_N,F0SZE5,97,390,72,74.23,18.46
FliD_N,C9A954,90,449,90,100.0,20.04
FliD_N,G2SRF1,92,460,92,100.0,20.0
FliD_N,D4H874,96,823,91,94.79,11.06
FliD_N,D3PBU0,96,781,90,93.75,11.52
FliD_N,E4TIX3,95,784,90,94.74,11.48
FliD_N,A9KSQ5,97,608,94,96.91,15.46
FliD_N,F2JT53,97,537,84,86.6,15.64
FliD_N,G2SZK3,95,831,91,95.79,10.95
FliD_N,C4Z284,96,622,93,96.88,14.95
FliD_N,E0S031,96,428,93,96.88,21.73
FliD_N,F6B820,110,487,92,83.64,18.89
FliD_N,B0TH38,95,446,92,96.84,20.63
FliD_N,W0EF34,97,670,87,89.69,12.99
FliD_N,C9LY19,96,506,93,96.88,18.38
FliD_N,L0FCB4,97,413,94,96.91,22.76
FliD_N,Q24T52,97,426,94,96.91,22.07
FliD_N,E3PUL1,111,447,95,85.59,21.25
FliD_N,W8T1R0,109,466,95,87.16,20.39
FliD_N,A6TLE2,111,472,94,84.68,19.92
FliD_N,A8MJP0,111,581,92,82.88,15.83
FliD_N,K0AY79,100,543,97,97.0,17.86
FliD_N,D9SKF6,108,436,90,83.33,20.64
FliD_N,Q18CX9,101,436,99,98.02,22.71
FliD_N,M1MUH2,100,444,99,99.0,22.3
FliD_N,U5MWH2,105,524,77,73.33,14.69
FliD_N,R4KDU4,95,617,92,96.84,14.91
FliD_N,W6RWU2,103,723,94,91.26,13.0
FliD_N,Q893U0,102,443,78,76.47,17.61
FliD_N,A0Q000,104,400,86,82.69,21.5
FliD_N,H6LDR0,102,539,99,97.06,18.37
FliD_N,B8I4D9,106,674,85,80.19,12.61
FliD_N,L7VVC2,103,562,89,86.41,15.84
FliD_N,F0SU34,103,541,94,91.26,17.38
FliD_N,F6DNQ5,103,760,94,91.26,12.37
FliD_N,A3DHJ1,103,741,87,84.47,11.74
FliD_N,G8LSZ6,103,548,100,97.09,18.25
FliD_N,Q97H10,113,527,92,81.42,17.46
FliD_N,E6U6G4,101,700,98,97.03,14.0
FliD_N,A5I5G7,104,721,90,86.54,12.48
FliD_N,A5MZ29,104,725,88,84.62,12.14
FliD_N,I0JQJ9,95,436,92,96.84,21.1
FliD_N,K0J0W2,95,455,92,96.84,20.22
FliD_N,Q8ENI2,96,411,93,96.88,22.63
FliD_N,Q5WDF2,98,500,95,96.94,19.0
FliD_N,D3FYF8,99,545,96,96.97,17.61
FliD_N,B1I5H1,97,520,94,96.91,18.08
FliD_N,L0E7Z6,97,429,94,96.91,21.91
FliD_N,H6NT80,97,415,94,96.91,22.65
FliD_N,D7CPM2,94,418,91,96.81,21.77
FliD_N,D9RY97,101,551,97,96.04,17.6
FliD_N,F4LXD0,102,533,97,95.1,18.2
FliD_N,Q0B0F5,96,805,92,95.83,11.43
FliD_N,R4KJ70,96,552,93,96.88,16.85
FliD_N,C8W1D6,96,423,93,96.88,21.99
FliD_N,A4J775,97,542,94,96.91,17.34
FliD_N,A5D0G4,94,427,91,96.81,21.31
FliD_N,Q8RCC8,97,502,94,96.91,18.73
FliD_N,F3ZZ81,96,555,93,96.88,16.76
FliD_N,Q5KV87,97,417,94,96.91,22.54
FliD_N,U5LI20,97,621,94,96.91,15.14
FliD_N,Q65EC0,94,415,91,96.81,21.93
FliD_N,E6TS73,98,467,95,96.94,20.34
FliD_N,C0Z6U7,95,424,92,96.84,21.7
FliD_N,N0AZE7,96,417,84,87.5,20.14
FliD_N,I3TJH6,114,693,114,100.0,16.45
FliD_N,C1A585,101,665,98,97.03,14.74
FliD_N,B2A819,95,473,92,96.84,19.45
FliD_N,B2A823,95,403,66,69.47,16.38
FliD_N,E3DR10,96,53,53,55.21,100.0
FliD_N,L0KDH5,97,506,94,96.91,18.58
FliD_N,D9QTN9,97,488,94,96.91,19.26
FliD_N,Q2RZA7,94,478,94,100.0,19.67
FliD_N,A0L3S0,95,377,69,72.63,18.3
FliD_N,H1XP98,95,416,95,100.0,22.84
FliD_N,D6Z6P1,97,372,94,96.91,25.27
FliD_N,F8A866,94,536,91,96.81,16.98
FliD_N,C0QA29,95,471,72,75.79,15.29
FliD_N,K0NRW1,95,640,92,96.84,14.38
FliD_N,I5B5A1,96,563,93,96.88,16.52
FliD_N,A8ERB3,102,361,99,97.06,27.42
FliD_N,D5V7A0,98,451,98,100.0,21.73
FliD_N,D1B250,93,533,92,98.92,17.26
FliD_N,Q30U48,95,376,91,95.79,24.2
FliD_N,E0UT90,96,439,92,95.83,20.96
FliD_N,D3UGM5,96,586,92,95.83,15.7
FliD_N,F8KTH3,96,604,92,95.83,15.23
FliD_N,C5ZWT4,92,608,92,100.0,15.13
FliD_N,Q7MAM3,96,601,92,95.83,15.31
FliD_N,C6BZV2,96,541,93,96.88,17.19
FliD_N,M1WX40,95,538,92,96.84,17.1
FliD_N,Q6MQ71,91,435,91,100.0,20.92
FliD_N,F3YVJ7,96,558,93,96.88,16.67
FliD_N,T2GGE6,96,550,93,96.88,16.91
FliD_N,C6BXM4,96,541,93,96.88,17.19
FliD_N,E1QJH1,91,770,88,96.7,11.43
FliD_N,C7LR59,96,659,93,96.88,14.11
FliD_N,F3Z0G1,96,551,93,96.88,16.88
FliD_N,M1WL21,96,540,93,96.88,17.22
FliD_N,C6C1R6,96,555,93,96.88,16.76
FliD_N,Q1MRV9,95,673,92,96.84,13.67
FliD_N,Q313H5,96,552,93,96.88,16.85
FliD_N,Q72DR6,95,553,92,96.84,16.64
FliD_N,F2LVR1,94,374,90,95.74,24.06
FliD_N,Q6AMN7,95,468,92,96.84,19.66
FliD_N,M1PDH1,95,461,92,96.84,19.96
FliD_N,C8WZ11,92,443,92,100.0,20.77
FliD_N,A6Q2P7,97,429,94,96.91,21.91
FliD_N,F0S153,97,364,95,97.94,26.1
FliD_N,C0QRT8,97,359,95,97.94,26.46
FliD_N,D3SMT9,89,415,89,100.0,21.45
FliD_N,F8C448,90,417,89,98.89,21.34
FliD_N,B5YGA9,94,422,92,97.87,21.8
FliD_N,S0EYN2,96,756,93,96.88,12.3
FliD_N,Q2IQN2,94,358,78,82.98,21.79
FliD_N,W0REC5,101,344,74,73.27,21.51
FliD_N,W0J3R9,95,493,91,95.79,18.46
FliD_N,B1ZRP1,96,501,94,97.92,18.76
FliD_N,W0HU58,94,373,78,82.98,20.91
FliD_N,K0CDJ1,95,347,77,81.05,22.19
FliD_N,A0A0H2W3V7,95,391,92,96.84,23.53
FliD_N,Q7N5J5,95,385,80,84.21,20.78
FliD_N,D3VC84,95,405,81,85.26,20.0
FliD_N,M1S8Q1,95,407,92,96.84,22.6
FliD_N,Q6D6F5,105,383,89,84.76,23.24
FliD_N,T1HQU1,93,393,93,100.0,23.66
FliD_N,U3U1Q5,94,390,92,97.87,23.59
FliD_N,A8AF97,95,375,79,83.16,21.07
FliD_N,G0AIL8,96,398,93,96.88,23.37
FliD_N,Q1LCL3,96,401,93,96.88,23.19
FliD_N,Q1LL30,96,468,93,96.88,19.87
FliD_N,Q0JYN0,96,381,93,96.88,24.41
FliD_N,W8X515,95,372,92,96.84,24.73
FliD_N,Q2L175,96,376,93,96.88,24.73
FliD_N,Q7VYD9,95,377,92,96.84,24.4
FliD_N,Q1LBH5,96,386,79,82.29,20.47
FliD_N,W0HST2,97,404,94,96.91,23.27
FliD_N,I0AMR0,96,492,78,81.25,15.85
FliD_N,I6YY12,96,515,96,100.0,18.64
FliD_N,C8WT49,97,504,97,100.0,19.25
FliD_N,A4G682,96,648,93,96.88,14.35
FliD_N,F9ZN83,96,622,93,96.88,14.95
FliD_N,C7M1N5,95,805,92,96.84,11.43
FliD_N,D9SF10,98,400,95,96.94,23.75
FliD_N,D5CN22,92,383,90,97.83,23.5
FliD_N,U5N7I0,96,372,93,96.88,25.0
FliD_N,A1WR42,96,399,93,96.88,23.31
FliD_N,A9BQ50,95,375,78,82.11,20.8
FliD_N,I0HPU5,96,395,93,96.88,23.54
FliD_N,A2SJT0,96,388,93,96.88,23.97
FliD_N,H5WJG8,96,375,79,82.29,21.07
FliD_N,B1Y379,96,393,93,96.88,23.66
FliD_N,Q221C0,96,477,93,96.88,19.5
FliD_N,C4KAR2,96,372,93,96.88,25.0
FliD_N,Q7NVN7,94,386,93,98.94,24.09
FliD_N,Q7NRA7,95,382,93,97.89,24.35
FliD_N,G2IWX6,94,386,92,97.87,23.83
FliD_N,D6ZKC8,105,524,103,98.1,19.66
FliD_N,C1DCR5,95,351,92,96.84,26.21
FliD_N,Q3SII3,96,648,93,96.88,14.35
FliD_N,Q2Y9C9,98,648,95,96.94,14.66
FliD_N,A1K917,95,388,92,96.84,23.71
FliD_N,H0Q1E9,96,365,78,81.25,21.37
FliD_N,S6BUN3,96,366,93,96.88,25.41
FliD_N,S6ALB1,96,342,55,57.29,16.08
FliD_N,Q82UA1,96,402,93,96.88,23.13
FliD_N,C6WV81,96,348,58,60.42,16.67
FliD_N,D7DQ09,96,349,59,61.46,16.91
FliD_N,Q1GZT6,96,651,93,96.88,14.29
FliD_N,C6XAR6,96,647,93,96.88,14.37
FliD_N,D0KYF4,97,439,94,96.91,21.41
FliD_N,Q3J8M3,97,657,94,96.91,14.31
FliD_N,D5BV76,97,659,94,96.91,14.26
FliD_N,D2UAA1,97,372,94,96.91,25.27
FliD_N,E6WSR7,97,364,94,96.91,25.82
FliD_N,Q8P9C5,97,361,94,96.91,26.04
FliD_N,G7UMY1,97,366,94,96.91,25.68
FliD_N,F6IIW1,97,472,97,100.0,20.55
FliD_N,B2JJ58,98,454,98,100.0,21.59
FliD_N,Q63PQ3,96,494,96,100.0,19.43
FliD_N,Q63M01,96,489,96,100.0,19.63
FliD_N,Q5ZVV2,97,520,94,96.91,18.08
FliD_N,Q3J1T9,95,530,92,96.84,17.36
FliD_N,H2FT05,97,438,94,96.91,21.46
FliD_N,Q6LW28,97,436,92,94.85,21.1
FliD_N,Q6LTP9,97,353,70,72.16,19.83
FliD_N,Q5E3P1,97,567,78,80.41,13.76
FliD_N,A4VKN6,97,430,93,95.88,21.63
FliD_N,S6AH19,97,394,94,96.91,23.86
FliD_N,F6A8I6,97,449,94,96.91,20.94
FliD_N,Q88ES7,97,434,94,96.91,21.66
FliD_N,H8L3D4,97,332,64,65.98,19.28
